Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Centum Rakon India Private Limited,SPTRD1374001,2018-02-26,M&A - Whole,Completed,359.135436675,Rakon Limited (NZSE:RAK),Centum Electronics Limited (BSE:517544),,,-354479.320453401,-13078.52,,,737019.476,,498022.959186225,142469.287,7.39264669507023,0.962771227043095,,,Electronic Equipment and Instruments,,Rakon Limited (Public Company),,"Rakon Limited (19,375.1)","Centum Electronics Limited (42,809.2)",51,Asia-Pacific,Centum Electronics Limited (Public Company),,"Rakon Limited (19,375.1)","Centum Electronics Limited (42,809.2)"
DRC Systems India Limited,SPTRD228545,2017-03-03,M&A - Whole,Completed,58.973417,NSI Infinium Global Pvt. Ltd.,DRC Systems India Limited (NSEI:DRCSYSTEMS),,,,-1026.583,,,95947.595,,,1026.583,23.4352671488716,1.75447253204685,,,Application Software,DRC Systems India Limited (Public Company),,"DRC Systems India Limited (2,404.3)",,"DRC Systems India Limited (2,404.3)",51,Asia-Pacific,DRC Systems India Limited (Public Company),"DRC Systems India Limited (2,404.3)",,"DRC Systems India Limited (2,404.3)"
ADCC Infocad Limited,SPTRD286884,2016-06-01,M&A - Minority,Completed,40.095,,Ceinsys Tech Limited (BSE:538734),,,,878525.379,,,1327912.246,,,106384.011,5.96780791220978,1.03707938468699,,,IT Consulting and Other Services,Ceinsys Tech Limited (Public Company),,"Ceinsys Tech Limited (23,460.8)",,"Ceinsys Tech Limited (23,460.8)",26.113289,Asia-Pacific,Ceinsys Tech Limited (Public Company),"Ceinsys Tech Limited (23,460.8)",,"Ceinsys Tech Limited (23,460.8)"
Xchanging Solutions Limited,SPTRD297489,2015-10-20,M&A - Minority,Terminated/Withdrawn,976.453571,Capita plc (LSE:CPI),Xchanging Solutions Limited (BSE:532616),,,,,,,,,,,13.2924771009636,1.10573768391706,,,IT Consulting and Other Services,Xchanging Solutions Limited (Public Company),Capita plc (Public Company),"Xchanging Solutions Limited (5,237.2)","Capita plc (101,893.5)","Xchanging Solutions Limited (5,237.2)",25,Asia-Pacific,Xchanging Solutions Limited (Public Company),"Xchanging Solutions Limited (5,237.2)",,"Xchanging Solutions Limited (5,237.2)"
Blue Star Infotech Limited,SPTRD298589,2015-09-29,M&A - Whole,Completed,2232.238494,Blue Star Limited (BSE:500067),IL&FS Investment Managers Limited (NSEI:IVC),,,1528344,-297073,,,2703709,,2119819,344041,8.41290725826961,0.91763145183154,,,IT Consulting and Other Services,,Blue Star Limited (Public Company),,"Blue Star Limited (390,077.0)","IL&FS Investment Managers Limited (1,243.4)",71.31,Asia-Pacific,IL&FS Investment Managers Limited (Public Company),,,"IL&FS Investment Managers Limited (1,243.4)"
VJIL Consulting Limited,SPTRD299525,2015-09-07,M&A - Minority,Completed,7.667748,,Athena Global Technologies Limited (BSE:517429),,,,24764.049,,,75792.205,,,3120.951,13.739996152666,1.57096957398192,,,IT Consulting and Other Services,Athena Global Technologies Limited (Public Company),,"Athena Global Technologies Limited (1,906.4)",,"Athena Global Technologies Limited (1,906.4)",29.309292,Asia-Pacific,Athena Global Technologies Limited (Public Company),"Athena Global Technologies Limited (1,906.4)",,"Athena Global Technologies Limited (1,906.4)"
Magellanic Cloud Limited,SPTRD374590,2015-04-08,M&A - Minority,Terminated/Withdrawn,22.8723,,Magellanic Cloud Limited (BSE:538891),,,,,,,,,,,5.2608304809217,4.6517174390477,,,IT Consulting and Other Services,Magellanic Cloud Limited (Public Company),,"Magellanic Cloud Limited (17,650.0)",,"Magellanic Cloud Limited (17,650.0)",26,Asia-Pacific,Magellanic Cloud Limited (Public Company),"Magellanic Cloud Limited (17,650.0)",,"Magellanic Cloud Limited (17,650.0)"
Magellanic Cloud Limited,SPTRD336506,2015-04-08,M&A - Minority,Completed,30.73365,,Aki Investments Pvt Ltd,,,,-777.449,,,18744.246,,,777.449,4.52829708385798,4.00399872046067,,,IT Consulting and Other Services,Magellanic Cloud Limited (Public Company),,"Magellanic Cloud Limited (17,650.0)",,,40.53,Asia-Pacific,,"Magellanic Cloud Limited (17,650.0)",,
ADC India Communications Limited,SPTRD280075,2015-02-02,M&A - Minority,Completed,47.647219,Commscope Technologies LLC (:ANDW),ADC India Communications Limited (BSE:523411),,,,-264236.888,,,581925.601,,,264236.888,16.8697686976812,1.34736321215742,,,Communications Equipment,ADC India Communications Limited (Public Company),,"ADC India Communications Limited (6,798.9)",,"ADC India Communications Limited (6,798.9)",26.05,Asia-Pacific,ADC India Communications Limited (Public Company),"ADC India Communications Limited (6,798.9)",,"ADC India Communications Limited (6,798.9)"
Dynacons Technologies Ltd.,SPTRD305132,2014-08-08,M&A - Minority,Completed,80.090652,,Dynacons Systems & Solutions Limited (BSE:532365); Trigem InfoSolutions Ltd.,,,,53200,,,318381,,,12875,6.43394574514883,0.41344205841429,,,Application Software,Ducon Infratechnologies Limited (Public Company),,"Ducon Infratechnologies Limited (1,738.6)",,"Dynacons Systems & Solutions Limited (14,155.4)",35.93,Asia-Pacific,Dynacons Systems & Solutions Limited (Public Company),"Ducon Infratechnologies Limited (1,738.6)",,"Dynacons Systems & Solutions Limited (14,155.4)"
Intellvisions Software Limited,SPTRD310993,2014-03-27,M&A - Whole,Completed,273.50346,Aurionpro Solutions Limited (NSEI:AURIONPRO),Elara Capital Plc; Elara India Opportunities Fund Limited; SAM Financial Services Private Limited; Verdia Marble Pvt Ltd,,,1835210,-21553.257,,,304802.828,,254750,79480.615,0.159632896983379,0.0137157802456942,,,"Technology Hardware, Storage and Peripherals",,Aurionpro Solutions Limited (Public Company),,"Aurionpro Solutions Limited (46,204.6)",,100,Asia-Pacific,,,"Aurionpro Solutions Limited (46,204.6)",
Thinksoft Global Services Limited,SPTRD311385,2014-03-19,M&A - Minority,Completed,345.915601,Sqs Software Quality Systems AG (:SQS),Expleo Solutions Limited (NSEI:EXPLEOSOL),,,791199.944887583,-383090.859,,,1944439.625,,1405550.23080102,502496.111,7.84782694616398,1.4333359967213,,,IT Consulting and Other Services,Expleo Solutions Limited (Public Company),,"Expleo Solutions Limited (10,089.7)",,"Expleo Solutions Limited (10,089.7)",27.6,Asia-Pacific,Expleo Solutions Limited (Public Company),"Expleo Solutions Limited (10,089.7)",,"Expleo Solutions Limited (10,089.7)"
Accel Frontline Limited,SPTRD450031,2013-12-09,M&A - Minority,Completed,231.352875,CAC Holdings Corporation (TSE:4725),Rajasthan Global Securities Limited,,,-6469429.145701,815581,,,3978612,,8618457.913086,268118,8.0150369975046,0.552998817426781,,,IT Consulting and Other Services,Inspirisys Solutions Limited (Public Company),CAC Holdings Corporation (Public Company),"Inspirisys Solutions Limited (3,239.0)","CAC Holdings Corporation (11,108.1)",,26,Asia-Pacific,,"Inspirisys Solutions Limited (3,239.0)","CAC Holdings Corporation (11,108.1)",
Accel Frontline Limited,SPTRD450030,2013-12-09,M&A - Minority,Completed,585.0,CAC Holdings Corporation (TSE:4725),"Accel Limited; Accel Systems Group, Inc.",,,-6469429.145701,815581,,,3978612,,8618457.913086,268118,8.90142516165461,0.614155316979892,,,IT Consulting and Other Services,Inspirisys Solutions Limited (Public Company),CAC Holdings Corporation (Public Company),"Inspirisys Solutions Limited (3,239.0)","CAC Holdings Corporation (11,108.1)",,43.68,Asia-Pacific,,"Inspirisys Solutions Limited (3,239.0)","CAC Holdings Corporation (11,108.1)",
Thinksoft Global Services Limited,SPTRD426490,2013-11-08,M&A - Minority,Completed,7.5621,Sqs Software Quality Systems AG (:SQS),Expleo Solutions Limited (NSEI:EXPLEOSOL),,,335029.091784745,-244201.653,,,1614434.968,,1298227.0880645,387305.925,7.83511040054198,1.43101343243452,,,IT Consulting and Other Services,Expleo Solutions Limited (Public Company),,"Expleo Solutions Limited (10,089.7)",,"Expleo Solutions Limited (10,089.7)",30.08,Asia-Pacific,Expleo Solutions Limited (Public Company),"Expleo Solutions Limited (10,089.7)",,"Expleo Solutions Limited (10,089.7)"
Thinksoft Global Services Limited,SPTRD426535,2013-11-08,M&A - Minority,Completed,687.59912,Sqs Software Quality Systems AG (:SQS),Expleo Solutions Limited (NSEI:EXPLEOSOL),,,333131.55579749,-244201.653,,,1614434.968,,1290874.19639139,387305.925,7.85896518519853,1.43537029730639,,,IT Consulting and Other Services,Expleo Solutions Limited (Public Company),,"Expleo Solutions Limited (10,089.7)",,"Expleo Solutions Limited (10,089.7)",26,Asia-Pacific,Expleo Solutions Limited (Public Company),"Expleo Solutions Limited (10,089.7)",,"Expleo Solutions Limited (10,089.7)"
Kale Consultants Limited,SPTRD621436,2010-09-14,M&A - Minority,Completed,941.754524,Accelya Holding World S.L.,Accelya Solutions India Limited (NSEI:ACCELYA),,,1204909.41837454,-301643.695,,,1659202.724,,1216427.64763542,347643.817,7.72597507847502,1.48023374930284,,,IT Consulting and Other Services,Accelya Solutions India Limited (Public Company),,"Accelya Solutions India Limited (17,655.2)",,"Accelya Solutions India Limited (17,655.2)",34.39,Asia-Pacific,Accelya Solutions India Limited (Public Company),"Accelya Solutions India Limited (17,655.2)",,"Accelya Solutions India Limited (17,655.2)"
Kale Consultants Limited,SPTRD621754,2010-09-09,M&A - Minority,Completed,975.150216,Accelya Holding World S.L.,Accelya Solutions India Limited (NSEI:ACCELYA),,,1204909.41837454,-301643.695,,,1659202.724,,1216427.64763542,347643.817,7.20108895256548,1.37966985280817,,,IT Consulting and Other Services,Accelya Solutions India Limited (Public Company),,"Accelya Solutions India Limited (17,655.2)",,"Accelya Solutions India Limited (17,655.2)",37.92,Asia-Pacific,Accelya Solutions India Limited (Public Company),"Accelya Solutions India Limited (17,655.2)",,"Accelya Solutions India Limited (17,655.2)"
Solectron EMS India Limited,SPTRD398931,2009-10-12,M&A - Whole,Completed,552.53361,Centum Electronics Limited (BSE:517544),ICICI Prudential Asset Management Company Limited (NSEI:ICICIAMC); ICICI Prudential Mutual Fund - ICICI Prudential MidCap Fund,,,355639.401,188922.129,,,2205818.02,,61593.79,19824.173,1.71404687987173,0.143136690396609,,,Electronic Manufacturing Services,,Centum Electronics Limited (Public Company),,"Centum Electronics Limited (42,809.2)","ICICI Prudential Asset Management Company Limited (1,694,708.3)",100,Asia-Pacific,"ICICI Prudential Asset Management Company Limited (Public Company)

ICICI Prudential Mutual Fund - ICICI Prudential MidCap Fund (Public Fund)",,"Centum Electronics Limited (42,809.2)",
Smartlink Network Systems Limited,SPTRD1225468,2008-10-03,M&A - Spinoff or Splitoff,Completed,1110.17945,,Smartlink Holdings Limited (NSEI:SMARTLINK),,,,-279263.482,,,1589737.681,,,279263.482,0.110305,0.01306,,,Technology Distributors,D-Link (India) Limited (Public Company),,"D-Link (India) Limited (13,659.8)",,,100,Asia-Pacific,Smartlink Holdings Limited (Public Company),"D-Link (India) Limited (13,659.8)",,Smartlink Holdings Limited (647.5)
Visualsoft Technologies Limited,SPTRD403225,2006-09-30,M&A - Whole,Completed,1575.352738793,Sigma Advanced Systems Limited (BSE:532408),Saif Ii Mauritius Company Limited,,,603000,-230955.12,,,1602465.678,,544100,230955.12,4.33181558003884,1.03749073843631,,,IT Consulting and Other Services,,Sigma Advanced Systems Limited (Public Company),,"Sigma Advanced Systems Limited (36,821.9)",,100,Asia-Pacific,,,"Sigma Advanced Systems Limited (36,821.9)",
