target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
NCR Atleos Corporation,SPTRD2197231,2026-02-26 00:00:00,M&A - Whole,Announced,6552.83338,The Brink's Company (NYSE:BCO),NCR Atleos Corporation (NYSE:NATL),Transaction and Payment Processing Services,100.0,1.51615765386395,742.0,6552.83338,Yes,8.83,NCR Atleos Corporation (Public Company),United States and Canada,The Brink's Company (Public Company),NCR Atleos Corporation (Public Company),financials
"NES Rentals Holdings II, Inc.",SPTRD219367,2017-01-25 00:00:00,M&A - Whole,Completed,965.0,"United Rentals, Inc. (NYSE:URI)","Diamond Castle Holdings, LLC",Specialized Finance,100.0,,,965,Yes,6.23,,United States and Canada,"United Rentals, Inc. (Public Company)",,financials
"Nicholas Financial, Inc.",SPTRD191526,2013-12-18 00:00:00,M&A - Whole,Terminated/Withdrawn,199.466,0988007 B.C. Unlimited Liability Company,Old Market Capital Corporation (OTCPK:OMCC),Consumer Finance,100.0,,,199.466,Yes,5.31,Old Market Capital Corporation (Public Company),United States and Canada,,Old Market Capital Corporation (Public Company),financials
Numis Corporation Plc,SPTRD2023182,2023-04-28 00:00:00,M&A - Whole,Completed,455.375714168641,Deutsche Bank Aktiengesellschaft (XTRA:DBK),Numis Corporation Limited (:NUM),Investment Banking and Brokerage,100.0,,,455.375714168641,Yes,6.71,,Europe,Deutsche Bank Aktiengesellschaft (Public Company),,financials
NYSE Euronext,SPTRD168546,2012-12-20 00:00:00,M&A - Whole,Completed,13629.625528,"Intercontinental Exchange, Inc. (NYSE:ICE)",NYSE Holdings LLC (:NYX),Financial Exchanges and Data,100.0,,937.0,13629.625528,Yes,11.59,,United States and Canada,"Intercontinental Exchange, Inc. (Public Company)",,financials
"On Deck Capital, Inc.",SPTRD1757218,2020-07-28 00:00:00,M&A - Whole,Completed,119.727099,"Enova International, Inc. (NYSE:ENVA)","On Deck Capital, Inc. (:ONDK)",Specialized Finance,100.0,,-4.57,119.727099,Yes,18.44,,United States and Canada,"Enova International, Inc. (Public Company)",,financials
"OneMain Holdings, Inc.",SPTRD1423741,2018-01-04 00:00:00,M&A - Minority,Completed,1428.375,"Värde Partners, Inc.; Apollo Global Management, Inc. (NYSE:APO)",Fortress Investment Group LLC (:FIG),Consumer Finance,40.5,,1653.0,1428.375,No,2.24,"OneMain Holdings, Inc. (Public Company)",United States and Canada,"Apollo Global Management, Inc. (Public Company)",,financials
Online Resources Corporation,SPTRD169282,2013-01-30 00:00:00,M&A - Whole,Completed,271.819,"ACI Worldwide, Inc. (NASDAQGS:ACIW)",Online Resources Corporation (:ORCC),Transaction and Payment Processing Services,100.0,,28.387,271.819,Yes,9.58,,United States and Canada,"ACI Worldwide, Inc. (Public Company)",,financials
"optionsXpress Holdings, Inc.",SPTRD157173,2011-03-21 00:00:00,M&A - Whole,Completed,725.747621,The Charles Schwab Corporation (NYSE:SCHW),"optionsXpress Holdings, Inc. (:OXPS)",Investment Banking and Brokerage,100.0,,84.797,725.747621,Yes,11.57,,United States and Canada,The Charles Schwab Corporation (Public Company),,financials
PartnerRe Ltd.,SPTRD1914966,2021-10-28 00:00:00,M&A - Whole,Completed,7965.317,Groupe Covéa - Société de Groupe d'Assurance Mutuelle,Exor N.V. (ENXTAM:EXO),Reinsurance,100.0,,-726.875,7965.317,Yes,15.06,,United States and Canada,,Exor N.V. (Public Company),financials
PartnerRe Ltd.,SPTRD199764,2015-01-25 00:00:00,M&A - Whole,Terminated/Withdrawn,5781.60586,AXIS Capital Holdings Limited (NYSE:AXS),PartnerRe Ltd. (:PRE),Reinsurance,100.0,,,5781.60586,Yes,6.63,,United States and Canada,AXIS Capital Holdings Limited (Public Company),,financials
Paysafe Group Plc,SPTRD570588,2017-07-21 00:00:00,M&A - Whole,Completed,3885.72143166014,Blackstone Inc. (NYSE:BX); CVC Capital Partners plc (ENXTAM:CVC),Fidelity Management & Research Company LLC; Jupiter Investment Management Limited,Transaction and Payment Processing Services,100.0,,283.033175501085,3885.72143166014,Yes,13.06,,Europe,"Blackstone Inc. (Public Company)

CVC Capital Partners plc (Public Company)",,financials
"Platinum Underwriters Holdings, Ltd.",SPTRD198533,2014-11-24 00:00:00,M&A - Whole,Completed,1679.932477,RenaissanceRe Holdings Ltd. (NYSE:RNR),"Platinum Underwriters Holdings, Ltd. (:PTP)",Reinsurance,100.0,,211.5,1679.932477,Yes,7.37,,United States and Canada,RenaissanceRe Holdings Ltd. (Public Company),,financials
PMA Capital Corporation,SPTRD153244,2010-06-10 00:00:00,M&A - Whole,Completed,383.408934,Old Republic International Corporation (NYSE:ORI),"PMA Companies, Inc. (:PMAC.A)",Property and Casualty Insurance,100.0,,44.614,383.408934,Yes,7.87,,United States and Canada,Old Republic International Corporation (Public Company),,financials
ProAssurance Corporation,SPTRD2137349,2025-03-19 00:00:00,M&A - Whole,Announced,1307.840975,"The Doctors Company, an Interinsurance Exchange",ProAssurance Corporation (NYSE:PRA),Property and Casualty Insurance,100.0,,103.171,1307.840975,Yes,12.68,ProAssurance Corporation (Public Company),United States and Canada,,ProAssurance Corporation (Public Company),financials
Protective Life Corporation,SPTRD194756,2014-06-03 00:00:00,M&A - Whole,Completed,5607.056608,"Daiichi Life Group, Inc. (TSE:8750)",Protective Life Corporation (:PL),Life and Health Insurance,100.0,,763.59,5607.056608,Yes,7.23,,United States and Canada,"Daiichi Life Group, Inc. (Public Company)",,financials
Prudential Annuities Life Assurance Corporation,SPTRD1906244,2021-09-15 00:00:00,M&A - Whole,Completed,1500.0,"Fortitude Reinsurance Company, Ltd.","Prudential Financial, Inc. (NYSE:PRU)",Life and Health Insurance,100.0,,4316.114,1500,Yes,0.77,,United States and Canada,,"Prudential Financial, Inc. (Public Company)",financials
"Rakuten Securities, Inc.",SPTRD2052627,2023-11-09 00:00:00,M&A - Minority,Completed,614.372076,"Mizuho Financial Group, Inc. (TSE:8411)","Rakuten Group, Inc. (TSE:4755)",Investment Banking and Brokerage,29.0007,,296.258106916707,614.372076,No,7.03,,Asia-Pacific,"Mizuho Financial Group, Inc. (Public Company)","Rakuten Group, Inc. (Public Company)",financials
"RiskMetrics Group, Inc.",SPTRD151253,2010-03-01 00:00:00,M&A - Whole,Completed,1542.911327,MSCI Inc. (NYSE:MSCI),"RiskMetrics Group, LLC (:RISK)",Financial Exchanges and Data,100.0,,93.586,1542.911327,Yes,15.67,,United States and Canada,MSCI Inc. (Public Company),,financials
"Shin Kong Financial Holding Co., Ltd.",SPTRD2105694,2024-08-20 00:00:00,M&A - Whole,Terminated/Withdrawn,3714.65021631644,"CTBC Financial Holding Co., Ltd. (TWSE:2891)","Shin Kong Financial Holding Co., Ltd. (:2888)",Life and Health Insurance,51.0,,,3714.65021631644,Yes,5.93,,Asia-Pacific,"CTBC Financial Holding Co., Ltd. (Public Company)",,financials
"State National Companies, Inc.",SPTRD485418,2017-07-26 00:00:00,M&A - Whole,Completed,922.615134,Markel Group Inc. (NYSE:MKL),"State National Companies, Inc. (:SNC)",Property and Casualty Insurance,100.0,,90.07,922.615134,Yes,10.14,,United States and Canada,Markel Group Inc. (Public Company),,financials
Stewart Information Services Corporation,SPTRD1410430,2018-03-19 00:00:00,M&A - Whole,Terminated/Withdrawn,1207.437055,"Fidelity National Financial, Inc. (NYSE:FNF)",Stewart Information Services Corporation (NYSE:STC),Property and Casualty Insurance,100.0,,,1207.437055,Yes,11.57,Stewart Information Services Corporation (Public Company),United States and Canada,"Fidelity National Financial, Inc. (Public Company)",Stewart Information Services Corporation (Public Company),financials
Student Loan Corporation,SPTRD154481,2010-09-17 00:00:00,M&A - Whole,Completed,3801.0,Discover Bank,Citigroup Inc. (NYSE:C),Consumer Finance,100.0,,-99.26,3801,Yes,5.06,,United States and Canada,,Citigroup Inc. (Public Company),financials
"tastytrade, Inc.",SPTRD1798995,2021-01-21 00:00:00,M&A - Whole,Completed,1052.233761,IG Group Holdings plc (LSE:IGG),"TCMI Inc.; tastytrade, Inc.",Financial Exchanges and Data,100.0,,54.1,1052.233761,Yes,19.45,,United States and Canada,IG Group Holdings plc (Public Company),,financials
TD Ameritrade Holding Corporation,SPTRD1654429,2019-11-25 00:00:00,M&A - Whole,Completed,21761.072587,The Charles Schwab Corporation (NYSE:SCHW),TD Ameritrade Holding Corporation (:AMTD),Investment Banking and Brokerage,100.0,,3094.0,21761.072587,Yes,8.49,,United States and Canada,The Charles Schwab Corporation (Public Company),,financials
Tesco Underwriting Ltd.,SPTRD1772060,2020-10-14 00:00:00,M&A - Whole,Completed,131.8060349877,Tesco Personal Finance Limited,ageas SA/NV (ENXTBR:AGS),Property and Casualty Insurance,50.1,,54.8255885043534,131.8060349877,Yes,5.03,,Europe,,ageas SA/NV (Public Company),financials
"Total System Services, Inc.",SPTRD1579099,2019-05-28 00:00:00,M&A - Whole,Completed,24121.493637,Global Payments Inc. (NYSE:GPN),"Total System Services, Inc. (:TSS)",Transaction and Payment Processing Services,100.0,,1350.051,24121.493637,Yes,16.88,,United States and Canada,Global Payments Inc. (Public Company),,financials
"TradeStation Group, Inc.",SPTRD157633,2011-04-21 00:00:00,M&A - Whole,Completed,400.951822,"Monex Group, Inc. (TSE:8698)","TradeStation Group, Inc. (:TRAD)",Investment Banking and Brokerage,100.0,,17.389,400.951822,Yes,20.99,,United States and Canada,"Monex Group, Inc. (Public Company)",,financials
TransUnion Corporation,SPTRD162202,2012-02-17 00:00:00,M&A - Whole,Completed,3398.842,TransUnion (NYSE:TRU),"Madison Dearborn Partners, LLC",Financial Exchanges and Data,100.0,,344.7,3398.842,Yes,12.16,,United States and Canada,TransUnion (Public Company),,financials
United Guaranty Corporation,SPTRD215320,2016-08-15 00:00:00,M&A - Whole,Completed,3260.0,Arch Capital Group Ltd. (NASDAQGS:ACGL),"American International Group, Inc. (NYSE:AIG)",Property and Casualty Insurance,100.0,,552.364,3260,Yes,6.13,,United States and Canada,Arch Capital Group Ltd. (Public Company),"American International Group, Inc. (Public Company)",financials
Western Asset Mortgage Capital Corporation,SPTRD2035092,2023-07-13 00:00:00,M&A - Whole,Completed,2171.528544,"TPG Mortgage Investment Trust, Inc. (NYSE:MITT)",Western Asset Mortgage Capital Corporation (:WMC),Mortgage REITs,100.0,,135.306,2171.528544,Yes,21.64,,United States and Canada,"TPG Mortgage Investment Trust, Inc. (Public Company)",,financials
Willis Towers Watson Public Limited Company,SPTRD1713558,2020-03-09 00:00:00,M&A - Whole,Terminated/Withdrawn,30543.721909,Aon plc (NYSE:AON),Willis Towers Watson Public Limited Company (NASDAQGS:WTW),Insurance Brokers,100.0,,,30543.721909,Yes,13.37,Willis Towers Watson Public Limited Company (Public Company),Europe,Aon plc (Public Company),Willis Towers Watson Public Limited Company (Public Company),financials
Yellow Maple I B.V.,SPTRD222847,2017-05-15 00:00:00,M&A - Whole,Completed,3540.39455124,Moody's Corporation (NYSE:MCO),Eqt Holdings Cooperatief W.A.,Financial Exchanges and Data,100.0,,144.085527777288,3540.39455124,Yes,23.03,,Europe,Moody's Corporation (Public Company),,financials
Zenith National Insurance Corp.,SPTRD150988,2010-02-18 00:00:00,M&A - Whole,Completed,1300.0,Fairfax Financial Holdings Limited (TSX:FFH),Zenith National Insurance Corp. (:ZNT),Property and Casualty Insurance,91.6,,64.15,1300,Yes,21.14,,United States and Canada,Fairfax Financial Holdings Limited (Public Company),,financials
