Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Swaraj Automotives Limited,SPTRD527724,2011-11-14,M&A - Minority,Completed,18.86438,Mahindra & Mahindra Limited (NSEI:M&M),"National Insurance Company Limited; The New India Assurance Company Limited (NSEI:NIACL); The Oriental Insurance Company Limited; United India Insurance Company Limited; Life Insurance Corporation of India (NSEI:LICI); General Insurance Corporation of India (NSEI:GICRE); IDBI Bank Limited (NSEI:IDBI); IFCI Limited (NSEI:IFCI); ICICI Investment Management Co., Ltd.",,,119114900,-39400,,,672899,,51565900,39400,6.06874010871809,0.26214038065148,,,Automotive Parts and Equipment,Sal Automotive Limited (Public Company),Mahindra & Mahindra Limited (Public Company),"Sal Automotive Limited (1,245.8)","Mahindra & Mahindra Limited (4,690,463.8)","The New India Assurance Company Limited (115,774.1); Life Insurance Corporation of India (4,651,425.4); General Insurance Corporation of India (427,877.2)",27,Asia-Pacific,"The New India Assurance Company Limited (Public Company)

Life Insurance Corporation of India (Public Company)

General Insurance Corporation of India (Public Company)

IDBI Bank Limited (Public Company)

IFCI Limited (Public Company)","Sal Automotive Limited (1,245.8)",,
Mudra Lifestyle Limited,SPTRD850124,2010-10-15,M&A - Minority,Completed,935.635425,"E·Land Fashion China Holdings, Ltd (:749)",E-Land Apparel Limited (BSE:532820),,,,3620892,,,4272521,,,471123,4.89067629655665,0.744359528744012,,,"Apparel, Accessories and Luxury Goods",E-Land Apparel Limited (Public Company),,"E-Land Apparel Limited (2,574.3)",,"E-Land Apparel Limited (2,574.3)",34.66,Asia-Pacific,E-Land Apparel Limited (Public Company),"E-Land Apparel Limited (2,574.3)",,"E-Land Apparel Limited (2,574.3)"
Munjal Showa Limited,SPTRD427573,2010-07-15,M&A - Minority,Completed,12.6,Dayanand Munjal Investment Pvt. Ltd,Hero Cycles Limited; Thakurdevi Investments (P) Ltd.,,,,1126390.003,,,9879155.247,,,73890.608,1.75165704136589,0.118065763097933,,,Automotive Parts and Equipment,Munjal Showa Limited (Public Company),,"Munjal Showa Limited (2,280.1)",,,31.5,Asia-Pacific,,"Munjal Showa Limited (2,280.1)",,
Apte Amalgamations Limited,SPTRD1629079,2010-05-19,M&A - Whole,Completed,98.178834,,M.Apte Kantilal Pvt. Ltd.,,,,87464.134,,,,,,4035.866,1.61077887825755,,,,Leisure Facilities,Emerald Leisures Limited (Public Company),,"Emerald Leisures Limited (5,299.8)",,,54.86,Asia-Pacific,,"Emerald Leisures Limited (5,299.8)",,
Goodyear India Limited,SPTRD950945,2010-02-09,M&A - Minority,Terminated/Withdrawn,2039.07928,Goodyear Orient Company (Private) Limited,Birla Sun Life Trustee Company Pvt. Ltd.,,,,,,,,,,,4.93131174792239,0.616166523614367,,,Tires and Rubber,Goodyear India Limited (Public Company),,"Goodyear India Limited (16,960.3)",,,26,Asia-Pacific,,"Goodyear India Limited (16,960.3)",,
National Plastic Industries Limited,SPTRD838186,2009-06-15,M&A - Minority,Completed,213.9525,Kuwait Emirates Holding Company K.S.C.P. (KWSE:EMIRATES),National Plastic Industries Limited (BSE:526616),,,-2198583.59734663,105627.875,,,390983.614,,2198583.59734663,6465.901,17.7111423221517,1.571071840832,,,Home Furnishings,National Plastic Industries Limited (Public Company),Kuwait Emirates Holding Company K.S.C.P. (Public Company),,"Kuwait Emirates Holding Company K.S.C.P. (7,551.7)",,40,Asia-Pacific,National Plastic Industries Limited (Public Company),National Plastic Industries Limited (708.5),"Kuwait Emirates Holding Company K.S.C.P. (7,551.7)",National Plastic Industries Limited (708.5)
Ucal Fuel Systems Limited,SPTRD1039987,2008-04-08,M&A - Minority,Completed,72.2592,Carburettors Ltd.,Mikuni Corporation (TSE:7247),,,,2724309,,,5904206,,,40349,8.38328106980602,0.508489879926276,,,Automotive Parts and Equipment,UCAL Limited (Public Company),,"UCAL Limited (4,874.3)",,"Mikuni Corporation (32,298.2)",26,Asia-Pacific,Mikuni Corporation (Public Company),"UCAL Limited (4,874.3)",,"Mikuni Corporation (32,298.2)"
Thomas Cook (India) Limited,SPTRD502899,2008-03-07,M&A - Whole,Completed,12146.519694,Thomas Cook UK Limited,Dubai Financial LLC,,,-6438348.22920507,1745264.044,,,2862396.781,,57251522.4031721,1727379.666,24.9752926965514,6.98301951416288,,,"Hotels, Resorts and Cruise Lines",Thomas Cook (India) Limited (Public Company),,"Thomas Cook (India) Limited (32,664.3)",,,54.42,Asia-Pacific,,"Thomas Cook (India) Limited (32,664.3)",,
Cheslind Textiles Limited,SPTRD824098,2007-03-19,M&A - Minority,Completed,278.10875,RSWM Limited (BSE:500350),Cheslind Textiles Limited (:CHESLINTEX),,,8559300,675233.747,,,1266851.915,,166000,58001.016,2.80940444563375,0.455477148769342,,,Textiles,,RSWM Limited (Public Company),,"RSWM Limited (22,511.9)",,48.17,Asia-Pacific,,,"RSWM Limited (22,511.9)",
A.K. Spintex Limited,SPTRD530922,2007-03-12,M&A - Whole,Completed,63.0636,Fashion Suitings Private Limited,Sunrakshakk Industries India Limited (BSE:539300),,,,,,,,,,,4.72867515879109,0.400554166789842,,,Textiles,Sunrakshakk Industries India Limited (Public Company),,"Sunrakshakk Industries India Limited (8,813.7)",,"Sunrakshakk Industries India Limited (8,813.7)",65.09,Asia-Pacific,Sunrakshakk Industries India Limited (Public Company),"Sunrakshakk Industries India Limited (8,813.7)",,"Sunrakshakk Industries India Limited (8,813.7)"
Automotive Stampings and Assemblies Limited,SPTRD971348,2007-02-13,M&A - Minority,Completed,363.169772,"Gestamp Automoción, S.A. (BME:GEST)",Tata AutoComp Systems Limited,,,,288069,,,3140600,,,7478,5.37435127275956,0.349878710620466,,,Automotive Parts and Equipment,Automotive Stampings and Assemblies Limited (Public Company),"Gestamp Automoción, S.A. (Public Company)","Automotive Stampings and Assemblies Limited (8,769.4)","Gestamp Automoción, S.A. (528,028.9)",,37.5,Asia-Pacific,,"Automotive Stampings and Assemblies Limited (8,769.4)",,
Modi Rubber Limited,SPTRD959175,2007-02-04,M&A - Minority,Completed,1009.9999,,Modi Rubber Limited (BSE:500890),,,,945575,,,558787,,,262989,6.72638795196726,5.80011581872878,,,Tires and Rubber,Modi Rubber Limited (Public Company),,"Modi Rubber Limited (2,675.9)",,"Modi Rubber Limited (2,675.9)",44,Asia-Pacific,Modi Rubber Limited (Public Company),"Modi Rubber Limited (2,675.9)",,"Modi Rubber Limited (2,675.9)"
SPBL Limited,SPTRD904028,2006-05-04,M&A - Whole,Completed,455.720332,Sangam (India) Limited (NSEI:SANGAMIND),SPBL Limited (:531702),,,3073812.874,226814.82,,,564228.309,,45819.707,3082.615,8.33753295090383,0.819208548431766,,,Textiles,,Sangam (India) Limited (Public Company),,"Sangam (India) Limited (36,871.6)",,100,Asia-Pacific,,,"Sangam (India) Limited (36,871.6)",
Winsome Yarns Limited,SPTRD1081778,2006-02-20,M&A - Minority,Completed,65.19934,Roselab Commodities (P) Ltd.; Satyam Combines Pvt Ltd.; Shell Business Pvt Ltd.; Kailashpati Vinimay (P) Ltd.; Agarsar Commerce Ltd.,Winsome Textile Industries Limited (BSE:514470),,,,622139,,,1177160,,,34456,1.58159875660821,0.218058985184682,,,Textiles,Winsome Yarns Limited (Public Company),,"Winsome Yarns Limited (5,427.6)",,"Winsome Textile Industries Limited (3,771.3)",25.4,Asia-Pacific,Winsome Textile Industries Limited (Public Company),"Winsome Yarns Limited (5,427.6)",,"Winsome Textile Industries Limited (3,771.3)"
Thomas Cook (India) Limited,SPTRD502897,2005-12-21,M&A - Whole,Completed,3543.940988,Dubai Financial LLC,Thomas Cook Group plc (:TCG),,,,-568559.012,,,1342570.06,,,932383.801,16.2240342689305,4.80319675294636,,,"Hotels, Resorts and Cruise Lines",Thomas Cook (India) Limited (Public Company),,"Thomas Cook (India) Limited (32,664.3)",,,60,Asia-Pacific,,"Thomas Cook (India) Limited (32,664.3)",,
Sangam (India) Limited,SPTRD719158,2005-08-11,M&A - Minority,Terminated/Withdrawn,299.831347,ICICI Venture Funds Management Company Limited; IAF Series 1; Swastik Coal Corporation (India) Ltd.,Sangam (India) Limited (NSEI:SANGAMIND),,,,,,,,,,,6.59578582716291,1.05019025669311,,,Textiles,Sangam (India) Limited (Public Company),,"Sangam (India) Limited (36,871.6)",,"Sangam (India) Limited (36,871.6)",25.82446,Asia-Pacific,Sangam (India) Limited (Public Company),"Sangam (India) Limited (36,871.6)",,"Sangam (India) Limited (36,871.6)"
Wheels India Limited,SPTRD953095,1999-01-21,M&A - Minority,Completed,510.6,,Invensys International Holdings Limited (:BTRX.Y),,,,1206627,,,2769415,,,12169,1.35516043737633,0.160984985021183,,,Automotive Parts and Equipment,Wheels India Limited (Public Company),,"Wheels India Limited (32,825.4)",,,35.9,Asia-Pacific,,"Wheels India Limited (32,825.4)",,
