Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Dredging Corporation of India Limited,SPTRD1503477,2018-11-08,M&A - Whole,Completed,17692.835,The Jawaharlal Nehru Port Authority; Paradip Port Trust; Kandla Port Trust; Visakhapatnam Port Authority,Dredging Corporation of India Limited (BSE:523618),,,,7192835,,,5918736,,,901970,15.9224602223502,3.6298937087243,,,Marine Ports and Services,Dredging Corporation of India Limited (Public Company),,"Dredging Corporation of India Limited (37,784.5)",,"Dredging Corporation of India Limited (37,784.5)",73.47,Asia-Pacific,Dredging Corporation of India Limited (Public Company),"Dredging Corporation of India Limited (37,784.5)",,"Dredging Corporation of India Limited (37,784.5)"
H.K. Trade International Limited,SPTRD1416107,2018-03-21,M&A - Whole,Completed,29.424369,,Knowell Enterprises Private Limited,,,,2224.369,,,67763.683,,,629.624,24.8844859445146,0.876841948639629,,,Trading Companies and Distributors,Waaree Technologies Limited (Public Company),,"Waaree Technologies Limited (3,874.9)",,,51.671733,Asia-Pacific,,"Waaree Technologies Limited (3,874.9)",,
H.K. Trade International Limited,SPTRD1416093,2018-03-21,M&A - Minority,Completed,5.92,,Waaree Technologies Limited (BSE:539337),,,,2224.369,,,67763.683,,,629.624,24.8844859445146,0.876841948639629,,,Trading Companies and Distributors,Waaree Technologies Limited (Public Company),,"Waaree Technologies Limited (3,874.9)",,"Waaree Technologies Limited (3,874.9)",26,Asia-Pacific,Waaree Technologies Limited (Public Company),"Waaree Technologies Limited (3,874.9)",,"Waaree Technologies Limited (3,874.9)"
Greenpiece Landscapes India Pvt Ltd.,SPTRD1224526,2018-01-24,M&A - Whole,Completed,216.0,Quess Corp Limited (NSEI:QUESS),Greenpiece Landscapes India Pvt Ltd.,,,-8127960,,,,333300,,12510250,,7.27272727272727,0.72007200720072,,,Environmental and Facilities Services,,Quess Corp Limited (Public Company),,"Quess Corp Limited (27,756.8)",,90,Asia-Pacific,,,"Quess Corp Limited (27,756.8)",
Tata Business Support Services Limited,SPTRD1034097,2017-11-20,M&A - Whole,Completed,1530.0,Quess Corp Limited (NSEI:QUESS),Tata Sons Private Limited,,,,,,,6610000,,,,5.36672629695885,0.453857791225416,,,Office Services and Supplies,,Quess Corp Limited (Public Company),,"Quess Corp Limited (27,756.8)",,51,Asia-Pacific,,,"Quess Corp Limited (27,756.8)",
Pennar Engineered Building Systems Limited,SPTRD989253,2017-11-10,M&A - Minority,Terminated/Withdrawn,1925.752848,Pennar Industries Limited (BSE:513228),"BlackRock, Inc. (NYSE:BLK); Zephyr Management, L.P.; Aditya Birla Sun Life AMC Limited (NSEI:ABSLAMC); Birla Sun Life Trustee Company Pvt. Ltd.; DSP BlackRock Investment Managers Pvt. Ltd.; DSP Mutual Fund - DSP Mid Cap Fund; Zephyr Peacock India Fund III; Vistra ITCL (India) Limited; DSP ADIKO Holdings Pvt. Ltd; DSP HMK Holdings Pvt. Ltd",,,,,,,,,,,8.40559444378228,0.841930885232202,,,Construction and Engineering,,Pennar Industries Limited (Public Company),,"Pennar Industries Limited (31,381.4)","BlackRock, Inc. (15,755,079.5); Aditya Birla Sun Life AMC Limited (299,287.3)",46.024659,Asia-Pacific,"BlackRock, Inc. (Public Company)

Aditya Birla Sun Life AMC Limited (Public Company)",,"Pennar Industries Limited (31,381.4)",
Alankit Limited,SPTRD224233,2017-06-02,M&A - Minority,Completed,283.078205,Alankit Assignments Ltd.; Alankit Associates Private Limited,Alankit Limited (BSE:531082),,,,-98448,,,850816,,,148404,23.2145836872899,5.47952644167482,,,Data Processing and Outsourced Services,Alankit Limited (Public Company),,"Alankit Limited (2,329.9)",,"Alankit Limited (2,329.9)",26,Asia-Pacific,Alankit Limited (Public Company),"Alankit Limited (2,329.9)",,"Alankit Limited (2,329.9)"
Alankit Limited,SPTRD224234,2017-06-02,M&A - Minority,Completed,648.0,Alankit Assignments Ltd.; Alankit Associates Private Limited,Diwakar Commercials Pvt. Ltd; Newwave Commercial Private Limited,,,,-98448,,,850816,,,148404,8.05051773434582,1.9002289848804,,,Data Processing and Outsourced Services,Alankit Limited (Public Company),,"Alankit Limited (2,329.9)",,,37.78,Asia-Pacific,,"Alankit Limited (2,329.9)",,
Expo Gas Containers Ltd,SPTRD823454,2017-01-20,M&A - Minority,Terminated/Withdrawn,41.575498,,Expo Engineering and Projects Limited (BSE:526614),,,,,,,,,,,10.0340615515388,0.849349600552506,,,Industrial Machinery and Supplies and Components,Expo Engineering and Projects Limited (Public Company),,"Expo Engineering and Projects Limited (1,853.9)",,"Expo Engineering and Projects Limited (1,853.9)",26,Asia-Pacific,Expo Engineering and Projects Limited (Public Company),"Expo Engineering and Projects Limited (1,853.9)",,"Expo Engineering and Projects Limited (1,853.9)"
Swiss Glascoat Equipments Limited,SPTRD828452,2016-10-25,M&A - Minority,Terminated/Withdrawn,219.7,HLE Engineers Pvt. Ltd.,HLE Glascoat Limited (BSE:522215),,,,,,,,,,,8.93398076090395,1.10820561034359,,,Industrial Machinery and Supplies and Components,HLE Glascoat Limited (Public Company),,"HLE Glascoat Limited (26,323.6)",,"HLE Glascoat Limited (26,323.6)",26,Asia-Pacific,HLE Glascoat Limited (Public Company),"HLE Glascoat Limited (26,323.6)",,"HLE Glascoat Limited (26,323.6)"
Terrier Security Services (India) Pvt. Ltd,SPTRD828693,2016-10-19,M&A - Minority,Completed,720.0,Quess Corp Limited (NSEI:QUESS),Terrier Security Services (India) Pvt. Ltd,,,,,,,2196000,,,,13.9941690952381,0.66912010701275,,,Security and Alarm Services,,Quess Corp Limited (Public Company),,"Quess Corp Limited (27,756.8)",,49,Asia-Pacific,,,"Quess Corp Limited (27,756.8)",
McNally Bharat Engineering Company Limited,SPTRD371393,2015-07-01,M&A - Minority,Completed,857.5378,Williamson Magor & Co. Limited (NSEI:WILLAMAGOR); EMC Limited,McNally Bharat Engineering Company Limited (BSE:532629),,,,17802088,,,24245069,,,610679,21.8040948869735,0.976091321785886,,,Construction and Engineering,McNally Bharat Engineering Company Limited (Public Company),Williamson Magor & Co. Limited (Public Company),"McNally Bharat Engineering Company Limited (31,496.1)","Williamson Magor & Co. Limited (5,844.1)","McNally Bharat Engineering Company Limited (31,496.1)",27.54,Asia-Pacific,McNally Bharat Engineering Company Limited (Public Company),"McNally Bharat Engineering Company Limited (31,496.1)","Williamson Magor & Co. Limited (5,844.1)","McNally Bharat Engineering Company Limited (31,496.1)"
Sarda Papers Limited,SPTRD396144,2014-09-02,M&A - Whole,Completed,46.50624,,Mercury Trade Links Limited (BSE:512415); Sumadhu Traders Private Limited; Madhu Construction Pvt. Ltd; Suvimal Properties Ltd,,,,35230.199,,,,,,92.461,18.6412238720497,,,,Trading Companies and Distributors,Tahmar Enterprises Limited (Public Company),,"Tahmar Enterprises Limited (1,487.0)",,,74.11,Asia-Pacific,Mercury Trade Links Limited (Public Company),"Tahmar Enterprises Limited (1,487.0)",,
Jost's Engineering Company Limited,SPTRD785058,2014-08-30,M&A - Minority,Completed,113.099983,,Phiroze Sethna Private Limited; Bullows India Private Limited,,,,-13691,,,723007,,,25599,4.90928512157038,0.304399891010737,,,Industrial Machinery and Supplies and Components,Jost's Engineering Company Limited (Public Company),,"Jost's Engineering Company Limited (2,981.8)",,,48.38,Asia-Pacific,,"Jost's Engineering Company Limited (2,981.8)",,
ALSTOM India Limited,SPTRD867187,2014-05-05,M&A - Minority,Completed,6.071572,GE Energy Europe B.V.,GE Power India Limited (BSE:532309),,,12443002880,-7184000,,,21242900,,686833840,7185600,14.5510723909856,1.02850715684506,,,Construction and Engineering,GE Power India Limited (Public Company),,"GE Power India Limited (32,089.8)",,"GE Power India Limited (32,089.8)",26.000001,Asia-Pacific,GE Power India Limited (Public Company),"GE Power India Limited (32,089.8)",,"GE Power India Limited (32,089.8)"
National Bulk Handling Corporation Pvt. Ltd.,SPTRD311527,2014-03-15,M&A - Whole,Completed,2417.4,"True North Managers LLP; India Value Fund IV, L.P.",63 moons technologies limited (BSE:526881); FT Foundation,,,,,,,1599600,,,,6.03972517176765,1.5112528132033,,,Diversified Support Services,,,,,"63 moons technologies limited (12,234.7)",100,Asia-Pacific,63 moons technologies limited (Public Company),,,"63 moons technologies limited (12,234.7)"
Kalindee Rail Nirman (Engineers) Limited,SPTRD891365,2013-07-20,M&A - Minority,Completed,145.643578,Texmaco Rail & Engineering Limited (NSEI:TEXRAIL),Kalindee Rail Nirman (Engineers) Limited (:522259),,,-1259846,691341.616,,,2572221.238,,2284323,395585.744,2.95398154303792,0.342167247901403,,,Construction and Engineering,Kalindee Rail Nirman (Engineers) Limited (Public Company),Texmaco Rail & Engineering Limited (Public Company),,"Texmaco Rail & Engineering Limited (48,784.4)",,39.95,Asia-Pacific,Kalindee Rail Nirman (Engineers) Limited (Public Company),,"Texmaco Rail & Engineering Limited (48,784.4)",
GMM Pfaudler Limited,SPTRD898927,2013-02-22,M&A - Minority,Completed,14.216437,"NOV Inc. (NYSE:NOV); Pfaudler, Inc.",GMM Pfaudler Limited (BSE:505255),,,,-394330,,,2128930,,,394330,6.12800198558022,0.424238074997227,,,Industrial Machinery and Supplies and Components,GMM Pfaudler Limited (Public Company),NOV Inc. (Public Company),"GMM Pfaudler Limited (47,327.6)","NOV Inc. (739,669.1)","GMM Pfaudler Limited (47,327.6)",26,Asia-Pacific,GMM Pfaudler Limited (Public Company),"GMM Pfaudler Limited (47,327.6)",,"GMM Pfaudler Limited (47,327.6)"
Shanthi Gears Limited,SPTRD780077,2012-07-13,M&A - Minority,Completed,2920.073571,Cholamandalam Financial Holdings Limited (NSEI:CHOLAHLDNG),Shanthi Social Services; Shanthi General Finance Private Limited,,,,-519742.032,,,1730052.851,,,559311.532,9.23665881650774,3.52517462485312,,,Industrial Machinery and Supplies and Components,Shanthi Gears Limited (Public Company),Cholamandalam Financial Holdings Limited (Public Company),"Shanthi Gears Limited (34,156.3)",,,44.12,Asia-Pacific,,"Shanthi Gears Limited (34,156.3)",,
Shanthi Gears Limited,SPTRD816263,2012-07-13,M&A - Minority,Completed,1720.935882,Cholamandalam Financial Holdings Limited (NSEI:CHOLAHLDNG),Shanthi Gears Limited (NSEI:SHANTIGEAR),,,117305300,-519742.032,,,1730052.851,,5535500,559311.532,9.23742171031729,3.52546578358836,,,Industrial Machinery and Supplies and Components,Shanthi Gears Limited (Public Company),Cholamandalam Financial Holdings Limited (Public Company),"Shanthi Gears Limited (34,156.3)",,"Shanthi Gears Limited (34,156.3)",26,Asia-Pacific,Shanthi Gears Limited (Public Company),"Shanthi Gears Limited (34,156.3)",,"Shanthi Gears Limited (34,156.3)"
Beardsell Limited,SPTRD906019,2012-04-02,M&A - Minority,Completed,49.619928,,Beardsell Limited (NSEI:BEARDSELL),,,,39024,,,955055,,,64566,5.5458959367301,0.325266937506217,,,Building Products,Beardsell Limited (Public Company),,"Beardsell Limited (1,281.2)",,"Beardsell Limited (1,281.2)",26,Asia-Pacific,Beardsell Limited (Public Company),"Beardsell Limited (1,281.2)",,"Beardsell Limited (1,281.2)"
Bell Ceramics Ltd.,SPTRD935813,2011-02-07,M&A - Minority,Completed,44.03157,Orient Bell Limited (BSE:530365),JBS Investment Pte Ltd.; TA Yang Enterprises Pte Ltd.,,,1777775,879767,,,1382632.988,,24561,6268,7.77004469726224,0.746579177525019,,,Building Products,,Orient Bell Limited (Public Company),,"Orient Bell Limited (4,603.8)",,31.03,Asia-Pacific,,,"Orient Bell Limited (4,603.8)",
Schlafhorst Engineering India Ltd,SPTRD815674,2010-10-26,M&A - Whole,Completed,11.234999,INTEGRA Holding AG,W. Reiners Verwaltungs-GmbH,,,,-122265,,,54624,,,122265,5.83554068322981,0.753214454643845,,,Industrial Machinery and Supplies and Components,Integra Engineering India Limited (Public Company),,"Integra Engineering India Limited (6,649.8)",,,54.4,Asia-Pacific,,"Integra Engineering India Limited (6,649.8)",,
Bell Ceramics Ltd.,SPTRD940369,2010-09-20,M&A - Whole,Completed,1032.604848,Orient Bell Limited (BSE:530365),Bell Ceramics Ltd. (:BELCERAMIC),,,622083.836,868592,,,1533019,,15994.748,4716,8.93303084614195,0.828739574003975,,,Building Products,,Orient Bell Limited (Public Company),,"Orient Bell Limited (4,603.8)",,62.92,Asia-Pacific,,,"Orient Bell Limited (4,603.8)",
Signet Industries Limited,SPTRD948134,2010-04-29,M&A - Minority,Completed,42.882,Adroit Industries (India) Limited,Jeevan Commercial Private Ltd.; Pushpanjali Vinimay Pvt Ltd.; Prime Suppliers Private Limited; Kesar Vincom Private Ltd.; Magnolia Traders Private Ltd.; Padmini Distributors Private Ltd.,,,35685,639485.452,,,3607692.25,,29223,118614.636,4.05775264997835,0.224442556595563,,,Trading Companies and Distributors,Signet Industries Limited (Public Company),,"Signet Industries Limited (5,499.3)",,,25.19,Asia-Pacific,,"Signet Industries Limited (5,499.3)",,
Zenu Infotech Limited,SPTRD644826,2009-09-25,M&A - Minority,Completed,6.2306,Choice International Limited (BSE:531358),Ekansh Concepts Limited (BSE:531364),,,-45262.202,-669.711,,,2753.82,,45262.202,669.711,20.794081825595,7.20423847600787,,,Construction and Engineering,Ekansh Concepts Limited (Public Company),Choice International Limited (Public Company),"Ekansh Concepts Limited (3,881.7)",,"Ekansh Concepts Limited (3,881.7)",30.38,Asia-Pacific,Ekansh Concepts Limited (Public Company),"Ekansh Concepts Limited (3,881.7)",,"Ekansh Concepts Limited (3,881.7)"
